tick: 124.0,             Human number: 75,             Zombie number: 30
tick: 125.0,             Human number: 75,             Zombie number: 30
tick: 126.0,             Human number: 74,             Zombie number: 31
tick: 127.0,             Human number: 74,             Zombie number: 31
tick: 128.0,             Human number: 74,             Zombie number: 31
tick: 129.0,             Human number: 74,             Zombie number: 31
tick: 130.0,             Human number: 74,             Zombie number: 31
tick: 131.0,             Human number: 74,             Zombie number: 31
tick: 132.0,             Human number: 74,             Zombie number: 31
tick: 133.0,             Human number: 73,             Zombie number: 32
tick: 134.0,             Human number: 72,             Zombie number: 33
tick: 135.0,             Human number: 72,             Zombie number: 33
tick: 136.0,             Human number: 72,             Zombie number: 33
tick: 137.0,             Human number: 72,             Zombie number: 33
tick: 138.0,             Human number: 71,             Zombie number: 34
tick: 139.0,             Human number: 71,             Zombie number: 34
tick: 140.0,             Human number: 70,             Zombie number: 35
tick: 141.0,             Human number: 70,             Zombie number: 35
tick: 142.0,             Human number: 69,             Zombie number: 36
tick: 143.0,             Human number: 69,             Zombie number: 36
tick: 144.0,             Human number: 69,             Zombie number: 36
tick: 145.0,             Human number: 69,             Zombie number: 36
tick: 146.0,             Human number: 69,             Zombie number: 36
tick: 147.0,             Human number: 69,             Zombie number: 36
tick: 148.0,             Human number: 68,             Zombie number: 37
tick: 149.0,             Human number: 67,             Zombie number: 38
tick: 150.0,             Human number: 67,             Zombie number: 38
tick: 151.0,             Human number: 67,             Zombie number: 38
tick: 152.0,             Human number: 67,             Zombie number: 38
tick: 153.0,             Human number: 67,             Zombie number: 38
tick: 154.0,             Human number: 67,             Zombie number: 38
tick: 155.0,             Human number: 67,             Zombie number: 38
tick: 156.0,             Human number: 67,             Zombie number: 38
tick: 157.0,             Human number: 66,             Zombie number: 39
tick: 158.0,             Human number: 66,             Zombie number: 39
tick: 159.0,             Human number: 66,             Zombie number: 39
tick: 160.0,             Human number: 66,             Zombie number: 39
tick: 161.0,             Human number: 66,             Zombie number: 39
tick: 162.0,             Human number: 66,             Zombie number: 39
tick: 163.0,             Human number: 66,             Zombie number: 39
tick: 164.0,             Human number: 64,             Zombie number: 41
tick: 165.0,             Human number: 64,             Zombie number: 41
tick: 166.0,             Human number: 64,             Zombie number: 41
tick: 167.0,             Human number: 64,             Zombie number: 41
tick: 168.0,             Human number: 64,             Zombie number: 41
tick: 169.0,             Human number: 64,             Zombie number: 41
tick: 170.0,             Human number: 64,             Zombie number: 41
tick: 171.0,             Human number: 64,             Zombie number: 41
tick: 172.0,             Human number: 63,             Zombie number: 42
tick: 173.0,             Human number: 63,             Zombie number: 42
tick: 174.0,             Human number: 63,             Zombie number: 42
tick: 175.0,             Human number: 63,             Zombie number: 42
tick: 176.0,             Human number: 63,             Zombie number: 42
tick: 177.0,             Human number: 63,             Zombie number: 42
tick: 178.0,             Human number: 62,             Zombie number: 43
tick: 179.0,             Human number: 62,             Zombie number: 43
tick: 180.0,             Human number: 62,             Zombie number: 43
tick: 181.0,             Human number: 62,             Zombie number: 43
tick: 182.0,             Human number: 61,             Zombie number: 44
tick: 183.0,             Human number: 59,             Zombie number: 46
tick: 184.0,             Human number: 59,             Zombie number: 46
tick: 185.0,             Human number: 58,             Zombie number: 47
tick: 186.0,             Human number: 58,             Zombie number: 47
tick: 187.0,             Human number: 56,             Zombie number: 49
tick: 188.0,             Human number: 55,             Zombie number: 50
tick: 189.0,             Human number: 55,             Zombie number: 50
tick: 190.0,             Human number: 55,             Zombie number: 50
tick: 191.0,             Human number: 55,             Zombie number: 50
tick: 192.0,             Human number: 55,             Zombie number: 50
tick: 193.0,             Human number: 54,             Zombie number: 51
tick: 194.0,             Human number: 54,             Zombie number: 51
tick: 195.0,             Human number: 54,             Zombie number: 51
tick: 196.0,             Human number: 53,             Zombie number: 52
tick: 197.0,             Human number: 53,             Zombie number: 52
tick: 198.0,             Human number: 53,             Zombie number: 52
tick: 199.0,             Human number: 53,             Zombie number: 52
