tick: 1.0,             Human number: 99,             Zombie number: 6
tick: 87.0,             Human number: 78,             Zombie number: 27
tick: 88.0,             Human number: 77,             Zombie number: 28
tick: 89.0,             Human number: 77,             Zombie number: 28
tick: 90.0,             Human number: 77,             Zombie number: 28
tick: 91.0,             Human number: 77,             Zombie number: 28
tick: 92.0,             Human number: 76,             Zombie number: 29
tick: 93.0,             Human number: 75,             Zombie number: 30
tick: 94.0,             Human number: 74,             Zombie number: 31
tick: 95.0,             Human number: 74,             Zombie number: 31
tick: 96.0,             Human number: 73,             Zombie number: 32
tick: 97.0,             Human number: 73,             Zombie number: 32
tick: 98.0,             Human number: 73,             Zombie number: 32
tick: 99.0,             Human number: 72,             Zombie number: 33
tick: 100.0,             Human number: 71,             Zombie number: 34
tick: 101.0,             Human number: 71,             Zombie number: 34
tick: 102.0,             Human number: 71,             Zombie number: 34
tick: 103.0,             Human number: 71,             Zombie number: 34
tick: 104.0,             Human number: 71,             Zombie number: 34
tick: 105.0,             Human number: 71,             Zombie number: 34
tick: 106.0,             Human number: 71,             Zombie number: 34
tick: 107.0,             Human number: 69,             Zombie number: 36
tick: 108.0,             Human number: 69,             Zombie number: 36
tick: 109.0,             Human number: 69,             Zombie number: 36
tick: 110.0,             Human number: 66,             Zombie number: 39
tick: 111.0,             Human number: 65,             Zombie number: 40
tick: 112.0,             Human number: 65,             Zombie number: 40
tick: 113.0,             Human number: 64,             Zombie number: 41
tick: 114.0,             Human number: 64,             Zombie number: 41
tick: 115.0,             Human number: 64,             Zombie number: 41
tick: 116.0,             Human number: 64,             Zombie number: 41
tick: 117.0,             Human number: 64,             Zombie number: 41
tick: 118.0,             Human number: 62,             Zombie number: 43
tick: 119.0,             Human number: 62,             Zombie number: 43
tick: 120.0,             Human number: 62,             Zombie number: 43
tick: 121.0,             Human number: 62,             Zombie number: 43
tick: 122.0,             Human number: 62,             Zombie number: 43
tick: 123.0,             Human number: 61,             Zombie number: 44
tick: 124.0,             Human number: 61,             Zombie number: 44
tick: 125.0,             Human number: 61,             Zombie number: 44
tick: 126.0,             Human number: 61,             Zombie number: 44
tick: 127.0,             Human number: 61,             Zombie number: 44
tick: 128.0,             Human number: 61,             Zombie number: 44
tick: 129.0,             Human number: 61,             Zombie number: 44
tick: 130.0,             Human number: 60,             Zombie number: 45
tick: 131.0,             Human number: 60,             Zombie number: 45
tick: 132.0,             Human number: 60,             Zombie number: 45
tick: 133.0,             Human number: 59,             Zombie number: 46
tick: 134.0,             Human number: 57,             Zombie number: 48
tick: 135.0,             Human number: 57,             Zombie number: 48
tick: 136.0,             Human number: 56,             Zombie number: 49
tick: 137.0,             Human number: 55,             Zombie number: 50
tick: 138.0,             Human number: 54,             Zombie number: 51
tick: 139.0,             Human number: 53,             Zombie number: 52
tick: 140.0,             Human number: 52,             Zombie number: 53
tick: 141.0,             Human number: 51,             Zombie number: 54
tick: 142.0,             Human number: 49,             Zombie number: 56
tick: 143.0,             Human number: 49,             Zombie number: 56
tick: 144.0,             Human number: 49,             Zombie number: 56
tick: 145.0,             Human number: 48,             Zombie number: 57
tick: 146.0,             Human number: 48,             Zombie number: 57
tick: 147.0,             Human number: 48,             Zombie number: 57
tick: 148.0,             Human number: 47,             Zombie number: 58
tick: 149.0,             Human number: 46,             Zombie number: 59
tick: 150.0,             Human number: 46,             Zombie number: 59
tick: 151.0,             Human number: 45,             Zombie number: 60
tick: 152.0,             Human number: 43,             Zombie number: 62
tick: 153.0,             Human number: 43,             Zombie number: 62
tick: 154.0,             Human number: 43,             Zombie number: 62
tick: 155.0,             Human number: 42,             Zombie number: 63
tick: 156.0,             Human number: 42,             Zombie number: 63
tick: 157.0,             Human number: 41,             Zombie number: 64
tick: 158.0,             Human number: 40,             Zombie number: 65
tick: 159.0,             Human number: 38,             Zombie number: 67
tick: 160.0,             Human number: 38,             Zombie number: 67
tick: 161.0,             Human number: 38,             Zombie number: 67
tick: 162.0,             Human number: 38,             Zombie number: 67
tick: 163.0,             Human number: 38,             Zombie number: 67
tick: 164.0,             Human number: 38,             Zombie number: 67
tick: 165.0,             Human number: 38,             Zombie number: 67
tick: 166.0,             Human number: 36,             Zombie number: 69
tick: 167.0,             Human number: 36,             Zombie number: 69
tick: 168.0,             Human number: 36,             Zombie number: 69
tick: 169.0,             Human number: 35,             Zombie number: 70
tick: 170.0,             Human number: 34,             Zombie number: 71
tick: 171.0,             Human number: 34,             Zombie number: 71
tick: 172.0,             Human number: 34,             Zombie number: 71
tick: 173.0,             Human number: 34,             Zombie number: 71
tick: 174.0,             Human number: 33,             Zombie number: 72
tick: 175.0,             Human number: 33,             Zombie number: 72
tick: 176.0,             Human number: 30,             Zombie number: 75
tick: 177.0,             Human number: 30,             Zombie number: 75
tick: 178.0,             Human number: 30,             Zombie number: 75
tick: 179.0,             Human number: 30,             Zombie number: 75
tick: 180.0,             Human number: 30,             Zombie number: 75
tick: 181.0,             Human number: 27,             Zombie number: 78
tick: 182.0,             Human number: 26,             Zombie number: 79
tick: 183.0,             Human number: 26,             Zombie number: 79
tick: 184.0,             Human number: 25,             Zombie number: 80
tick: 185.0,             Human number: 25,             Zombie number: 80
tick: 186.0,             Human number: 25,             Zombie number: 80
tick: 187.0,             Human number: 25,             Zombie number: 80
tick: 188.0,             Human number: 25,             Zombie number: 80
tick: 189.0,             Human number: 25,             Zombie number: 80
tick: 190.0,             Human number: 25,             Zombie number: 80
tick: 191.0,             Human number: 25,             Zombie number: 80
tick: 192.0,             Human number: 24,             Zombie number: 81
tick: 193.0,             Human number: 24,             Zombie number: 81
tick: 194.0,             Human number: 22,             Zombie number: 83
tick: 195.0,             Human number: 21,             Zombie number: 84
tick: 196.0,             Human number: 21,             Zombie number: 84
tick: 197.0,             Human number: 20,             Zombie number: 85
tick: 198.0,             Human number: 19,             Zombie number: 86
tick: 199.0,             Human number: 19,             Zombie number: 86
tick: 200.0,             Human number: 19,             Zombie number: 86
tick: 201.0,             Human number: 19,             Zombie number: 86
tick: 202.0,             Human number: 17,             Zombie number: 88
tick: 203.0,             Human number: 17,             Zombie number: 88
tick: 204.0,             Human number: 16,             Zombie number: 89
tick: 205.0,             Human number: 16,             Zombie number: 89
tick: 206.0,             Human number: 16,             Zombie number: 89
tick: 207.0,             Human number: 15,             Zombie number: 90
tick: 208.0,             Human number: 14,             Zombie number: 91
tick: 209.0,             Human number: 14,             Zombie number: 91
tick: 210.0,             Human number: 14,             Zombie number: 91
tick: 211.0,             Human number: 14,             Zombie number: 91
tick: 212.0,             Human number: 14,             Zombie number: 91
tick: 213.0,             Human number: 13,             Zombie number: 92
tick: 214.0,             Human number: 12,             Zombie number: 93
tick: 215.0,             Human number: 12,             Zombie number: 93
tick: 216.0,             Human number: 12,             Zombie number: 93
tick: 217.0,             Human number: 12,             Zombie number: 93
tick: 218.0,             Human number: 12,             Zombie number: 93
tick: 219.0,             Human number: 12,             Zombie number: 93
tick: 220.0,             Human number: 12,             Zombie number: 93
tick: 221.0,             Human number: 11,             Zombie number: 94
tick: 222.0,             Human number: 11,             Zombie number: 94
tick: 223.0,             Human number: 11,             Zombie number: 94
tick: 224.0,             Human number: 11,             Zombie number: 94
tick: 225.0,             Human number: 10,             Zombie number: 95
tick: 226.0,             Human number: 10,             Zombie number: 95
tick: 227.0,             Human number: 8,             Zombie number: 97
tick: 228.0,             Human number: 8,             Zombie number: 97
tick: 229.0,             Human number: 8,             Zombie number: 97
tick: 230.0,             Human number: 8,             Zombie number: 97
tick: 231.0,             Human number: 7,             Zombie number: 98
tick: 232.0,             Human number: 7,             Zombie number: 98
tick: 233.0,             Human number: 7,             Zombie number: 98
tick: 234.0,             Human number: 7,             Zombie number: 98
tick: 235.0,             Human number: 7,             Zombie number: 98
tick: 236.0,             Human number: 7,             Zombie number: 98
tick: 237.0,             Human number: 6,             Zombie number: 99
tick: 238.0,             Human number: 5,             Zombie number: 100
tick: 239.0,             Human number: 5,             Zombie number: 100
tick: 240.0,             Human number: 4,             Zombie number: 101
tick: 241.0,             Human number: 4,             Zombie number: 101
tick: 242.0,             Human number: 4,             Zombie number: 101
tick: 243.0,             Human number: 4,             Zombie number: 101
tick: 244.0,             Human number: 4,             Zombie number: 101
tick: 245.0,             Human number: 4,             Zombie number: 101
tick: 246.0,             Human number: 4,             Zombie number: 101
tick: 247.0,             Human number: 4,             Zombie number: 101
tick: 248.0,             Human number: 4,             Zombie number: 101
tick: 249.0,             Human number: 3,             Zombie number: 102
tick: 250.0,             Human number: 3,             Zombie number: 102
tick: 251.0,             Human number: 3,             Zombie number: 102
tick: 252.0,             Human number: 3,             Zombie number: 102
tick: 253.0,             Human number: 3,             Zombie number: 102
tick: 254.0,             Human number: 3,             Zombie number: 102
tick: 255.0,             Human number: 3,             Zombie number: 102
tick: 256.0,             Human number: 3,             Zombie number: 102
tick: 257.0,             Human number: 2,             Zombie number: 103
tick: 258.0,             Human number: 2,             Zombie number: 103
tick: 259.0,             Human number: 2,             Zombie number: 103
tick: 260.0,             Human number: 2,             Zombie number: 103
tick: 261.0,             Human number: 2,             Zombie number: 103
tick: 262.0,             Human number: 2,             Zombie number: 103
tick: 263.0,             Human number: 2,             Zombie number: 103
tick: 264.0,             Human number: 2,             Zombie number: 103
tick: 265.0,             Human number: 2,             Zombie number: 103
